N,T,Total_T
107000,54,9926990
107100,55,9933782
107200,50,9940780
107300,59,9947812
107400,50,9956176
107500,59,9963916
107600,49,9970847
107700,52,9977679
107800,51,9984849
107900,56,9992003
108000,63,10000035
108100,50,10007434
108200,62,10014752
108300,62,10022112
108400,64,10029633
108500,647,10037836
108600,53,10045793
108700,53,10052751
108800,49,10060063
108900,62,10067114
109000,64,10074460
109100,55,10082326
109200,52,10089508
109300,57,10097010
109400,63,10104506
109500,67,10112063
109600,51,10119731
109700,55,10127527
109800,54,10134866
109900,64,10142908
110000,68,10150382
110100,63,10158071
110200,55,10165599
110300,58,10174341
110400,64,10182127
110500,55,10189814
110600,49,10197740
110700,52,10204607
110800,51,10213961
110900,53,10221834
111000,53,10229053
111100,66,10236489
111200,51,10244344
111300,62,10251605
111400,61,10258996
111500,64,10267174
111600,65,10274759
111700,62,10282067
111800,55,10289400
111900,64,10296884
112000,56,10304881
112100,59,10312454
112200,64,10320149
112300,56,10327704
112400,62,10335448
112500,57,10343730
112600,68,10352200
112700,62,10359656
112800,52,10367004
112900,51,10374392
113000,56,10381847
113100,65,10389459
113200,63,10398171
113300,54,10405636
113400,58,10413227
113500,60,10420928
113600,64,10428842
113700,62,10436707
113800,62,10445633
113900,57,10453172
114000,64,10460891
114100,59,10468754
114200,66,10476845
114300,71,10484715
114400,66,10493223
114500,66,10517542
114600,69,10525889
114700,49,10547253
114800,58,10553916
114900,726,10561381
115000,53,10568898
115100,54,10575809
115200,47,10583178
115300,59,10590015
115400,51,10597067
115500,56,10604852
115600,51,10612101
115700,56,10619579
115800,51,10626551
115900,63,10633527
116000,52,10641267
116100,52,10651526
116200,64,10658980
116300,54,10667002
116400,61,10674348
116500,61,10681778
116600,56,10689207
116700,71,10697394
116800,55,10704639
116900,59,10711425
117000,50,10718541
117100,54,10725711
117200,62,10733240
117300,53,10741005
117400,53,10748219
117500,58,10755605
117600,62,10763737
117700,64,10771379
117800,51,10778806
117900,63,10786735
118000,63,10794183
118100,63,10801635
118200,56,10809116
118300,65,10816965
118400,51,10825079
118500,65,10832640
118600,67,10840372
118700,68,10848231
118800,50,10856558
118900,53,10864137
119000,54,10872054
119100,64,10879317
119200,53,10886677
119300,52,10894148
119400,62,10901418
119500,53,10908784
119600,64,10916795
119700,54,10924327
119800,56,10931926
119900,63,10939279
120000,52,10946631
120100,62,10954107
120200,61,10962928
120300,56,10970495
120400,62,10978063
120500,55,10985544
120600,65,10993351
120700,61,11001096
120800,67,11009584
120900,52,11017384
121000,62,11024717
121100,63,11032348
121200,63,11039851
121300,640,11047862
121400,63,11056084
121500,66,11066523
121600,52,11074733
121700,67,11082512
121800,66,11090308
121900,57,11098663
122000,63,11106354
122100,60,11114053
122200,64,11121837
122300,59,11129504
122400,61,11137477
122500,65,11145646
122600,68,11153293
122700,70,11161862
122800,69,11169941
122900,51,11177975
123000,54,11185028
123100,64,11192835
123200,50,11200106
123300,54,11207461
123400,52,11214943
123500,55,11222118
123600,66,11229529
123700,57,11237570
123800,64,11245034
123900,69,11252680
124000,50,11260502
124100,61,11267817
124200,62,11275389
124300,67,11283803
124400,67,11291960
124500,53,11299493
124600,55,11307051
124700,68,11314832
124800,63,11323179
124900,68,11330969
125000,51,11338377
125100,55,11345641
125200,54,11354470
125300,57,11362703
125400,56,11384047
125500,66,11391597
125600,63,11399139
125700,62,11406763
125800,68,11414439
125900,69,11422224
126000,62,11430671
126100,54,11438233
126200,58,11445787
126300,60,11453477
126400,64,11461249
126500,64,11469117
126600,66,11478018
126700,58,11485873
126800,66,11493963
126900,60,11504254
127000,51,11512449
127100,65,11519695
127200,63,11528524
127300,62,11536105
127400,63,11543622
127500,62,11551379
127600,64,11558916
127700,1334,11567794
127800,68,11575543
127900,69,11583279
128000,58,11591176
128100,64,11598614
128200,65,11606264
128300,58,11614490
128400,64,11622164
128500,60,11629869
128600,68,11637705
128700,59,11645603
128800,63,11653457
128900,67,11661892
129000,68,11670584
129100,64,11678175
129200,63,11685822
129300,64,11693716
129400,58,11701446
129500,72,11709826
129600,62,11717587
129700,55,11725237
129800,63,11733090
129900,59,11740969
130000,68,11749069
130100,56,11758263
130200,67,11766163
130300,72,11774755
130400,64,11782651
130500,67,11790694
130600,64,11798727
130700,69,11807295
130800,69,11815293
130900,58,11823373
131000,60,11831557
131100,54,11839752
131200,52,11846919
131300,49,11853159
131400,48,11859484
131500,51,11865904
131600,53,11873197
131700,50,11879378
131800,51,11886364
131900,52,11892790
132000,48,11899359
132100,46,11906251
132200,50,11914843
132300,51,11921313
132400,57,11928605
132500,51,11935197
132600,53,11942074
132700,51,11948529
132800,49,11955147
132900,51,11963030
133000,52,11970458
133100,63,11977549
133200,56,11984202
133300,52,11990619
133400,49,11997259
133500,54,12003679
133600,51,12011088
133700,49,12017829
133800,51,12024349
133900,49,12031147
134000,50,12037749
134100,1248,12045878
134200,51,12052793
134300,52,12059253
134400,48,12066168
134500,52,12072770
134600,51,12079800
134700,64,12087364
134800,52,12094349
134900,56,12101475
135000,53,12108633
135100,65,12116101
135200,51,12123363
135300,54,12130442
135400,50,12137506
135500,50,12143888
135600,51,12150391
135700,49,12157598
135800,51,12164054
135900,52,12171201
136000,49,12178004
136100,53,12201064
136200,56,12221880
136300,61,12228313
136400,50,12234970
136500,60,12242291
136600,51,12249091
136700,65,12256834
136800,50,12263562
136900,61,12270466
137000,51,12277658
137100,64,12285716
137200,65,12293299
137300,50,12299901
137400,51,12306584
137500,51,12313444
137600,58,12323563
137700,54,12330783
137800,52,12337616
137900,54,12344497
138000,50,12352321
138100,54,12359477
138200,55,12367503
138300,53,12374672
138400,50,12381528
138500,51,12389105
138600,61,12396196
138700,62,12403477
138800,53,12411425
138900,62,12418623
139000,57,12426063
139100,56,12433457
139200,61,12441107
139300,53,12449111
139400,47,12456211
139500,51,12462668
139600,49,12469193
139700,60,12475767
139800,50,12482612
139900,54,12489087
140000,51,12496335
140100,50,12503399
140200,50,12510267
140300,49,12517375
