N,T,Total_T
47300,112,6387321
47400,111,6400091
47500,127,6413345
47600,136,6427437
47700,122,6440182
47800,138,6453775
47900,137,6467963
48000,113,6482510
48100,152,6497545
48200,111,6510993
48300,138,6524341
48400,111,6538681
48500,149,6552834
48600,151,6567862
48700,151,6582518
48800,128,6597114
48900,124,6612869
49000,150,6628045
49100,163,6644393
49200,75,6657334
49300,86,6666597
49400,112,6677015
49500,112,6686888
49600,87,6697969
49700,85,6708874
49800,85,6719461
49900,125,6730814
50000,100,6742132
50100,124,6754320
50200,86,6766598
50300,127,6793395
50400,98,6817530
50500,98,6828997
50600,112,6841018
50700,101,6853924
50800,111,6865386
50900,124,6877779
51000,125,6890643
51100,137,6903961
51200,60,6918534
51300,100,6928333
51400,99,6939456
51500,113,6950943
51600,98,6962870
51700,137,6975726
51800,114,6987126
51900,137,6999476
52000,98,7012375
52100,110,7025537
52200,137,7039399
52300,112,7051386
52400,111,7063528
52500,112,7076447
52600,139,7089459
52700,150,7103213
52800,97,7116516
52900,125,7129743
53000,112,7144150
53100,151,7158095
53200,138,7173157
53300,97,7185842
53400,99,7196466
53500,142,7208306
53600,101,7219475
53700,110,7231806
53800,100,7244053
53900,112,7255953
54000,127,7268776
54100,125,7281374
54200,136,7294968
54300,111,7308452
54400,86,7320386
54500,124,7332781
54600,112,7345503
54700,137,7358837
54800,97,7372942
54900,138,7385823
55000,135,7400759
55100,153,7414887
55200,122,7429476
55300,86,7445000
55400,113,7456223
55500,125,7468605
55600,115,7481432
55700,125,7494664
55800,150,7508998
55900,141,7521614
56000,110,7535304
56100,124,7549396
56200,125,7563934
56300,162,7579202
56400,111,7592378
56500,138,7605851
56600,127,7620060
56700,166,7634527
56800,137,7649635
56900,125,7664063
57000,137,7678690
57100,139,7694396
57200,150,7709792
57300,165,7726104
57400,98,7739107
57500,109,7749714
57600,72,7761615
57700,112,7772724
57800,111,7785093
57900,113,7797268
58000,99,7809205
58100,138,7822087
58200,125,7834633
58300,151,7848281
58400,85,7861551
58500,99,7873399
58600,124,7885933
58700,124,7898591
58800,123,7912060
58900,111,7926049
59000,136,7939067
59100,155,7952826
59200,112,7967004
59300,139,7981511
59400,85,7996919
59500,125,8008246
59600,113,8021702
59700,125,8049715
59800,128,8063219
59900,168,8077985
60000,113,8090768
60100,128,8104681
60200,126,8119041
60300,141,8133862
60400,155,8149587
60500,125,8162843
60600,141,8176432
60700,136,8190676
60800,113,8205265
60900,150,8220247
61000,124,8234639
61100,151,8249347
61200,123,8265003
61300,163,8280512
61400,162,8296872
61500,125,8310414
61600,100,8322388
61700,100,8335504
61800,124,8348039
61900,137,8361746
62000,113,8375209
62100,125,8388423
62200,151,8402731
62300,148,8416474
62400,127,8431502
62500,111,8445931
62600,110,8459120
62700,148,8473108
62800,125,8487082
62900,150,8501902
63000,125,8517157
63100,165,8531641
63200,138,8546696
63300,138,8562043
63400,152,8578008
63500,113,8594478
63600,127,8607270
63700,137,8620914
63800,138,8635081
63900,153,8650786
64000,96,8666826
64100,138,8680497
64200,137,8695490
64300,150,8710901
64400,138,8726791
64500,178,8743565
64600,138,8757710
64700,166,8772637
64800,126,8788110
64900,138,8803905
65000,166,8820378
65100,150,8835909
65200,154,8852013
65300,151,8868882
65400,175,8885867
65500,190,8903523
65600,47,8914809
65700,75,8922801
65800,59,8931919
65900,100,8940635
66000,85,8950390
66100,87,8959876
66200,86,8969176
66300,125,8979689
66400,86,8989529
66500,99,9000520
66600,73,9010922
66700,86,9020174
66800,100,9030360
66900,98,9040335
67000,113,9051305
67100,99,9062497
67200,73,9073077
67300,113,9084164
67400,101,9095564
67500,124,9107637
67600,61,9119982
67700,98,9128899
67800,99,9138748
67900,112,9149005
68000,87,9159716
68100,72,9171399
68200,99,9181308
68300,114,9192349
68400,96,9203837
68500,110,9215739
68600,137,9228786
68700,111,9239932
68800,85,9264012
68900,97,9275198
69000,98,9286830
69100,135,9299234
69200,97,9310579
69300,122,9322461
69400,108,9335090
69500,153,9347959
69600,124,9361449
69700,73,9371721
69800,85,9380933
69900,84,9391140
70000,98,9401070
70100,107,9411914
70200,96,9422466
70300,112,9432876
70400,71,9444562
70500,111,9455390
70600,108,9467477
70700,98,9478830
70800,85,9489211
70900,121,9500536
71000,112,9511509
71100,133,9523581
71200,85,9535752
71300,98,9547337
71400,122,9559616
71500,122,9572025
71600,121,9585214
71700,82,9598393
71800,110,9608586
71900,121,9619476
72000,84,9630772
72100,111,9642424
72200,81,9655133
72300,121,9666247
72400,111,9678422
72500,122,9690952
72600,124,9703969
72700,162,9718173
72800,96,9729191
72900,110,9741222
73000,109,9753704
73100,122,9766655
73200,132,9780377
73300,122,9792854
73400,136,9806127
73500,135,9820024
73600,110,9834249
73700,151,9863762
73800,73,9874335
73900,99,9883798
74000,71,9894149
74100,114,9904428
74200,110,9915555
74300,112,9926294
74400,84,9936965
74500,85,9948782
74600,113,9960002
74700,124,9972365
74800,85,9983912
74900,101,9994516
75000,127,10006231
75100,125,10017415
75200,99,10029833
75300,98,10042076
75400,97,10053972
75500,137,10066606
75600,112,10079279
75700,138,10092768
75800,87,10106035
75900,124,10116549
76000,101,10127662
76100,99,10139092
76200,110,10151095
76300,98,10164017
76400,110,10175483
76500,123,10187871
76600,126,10200685
76700,139,10213967
76800,73,10228492
76900,110,10239595
77000,110,10251988
77100,128,10264761
77200,110,10278040
77300,151,10292276
77400,126,10304988
77500,151,10318646
77600,113,10332784
77700,124,10347299
77800,149,10362479
77900,98,10373773
78000,99,10384640
78100,98,10396283
78200,122,10408018
78300,139,10420472
78400,87,10432491
78500,115,10444482
78600,99,10457764
78700,138,10470452
78800,123,10484152
78900,110,10496871
79000,111,10508821
79100,152,10522007
79200,111,10534509
79300,126,10548167
79400,112,10561738
79500,122,10574990
79600,139,10589174
79700,137,10603080
79800,150,10617945
79900,110,10632334
80000,85,10644244
80100,125,10656664
80200,112,10669402
80300,136,10682764
80400,97,10696888
80500,138,10709763
80600,140,10723499
80700,155,10737637
80800,125,10752246
80900,101,10767869
81000,125,10780396
81100,140,10794085
81200,126,10808202
81300,138,10822678
81400,165,10838375
81500,153,10852311
81600,124,10867310
81700,140,10882649
81800,136,10898504
81900,178,10915120
82000,72,10925298
82100,100,10934855
82200,88,10945158
82300,122,10955643
82400,99,10966785
82500,86,10977284
82600,100,10988001
82700,99,10999710
82800,112,11011195
82900,124,11023570
83000,98,11034900
83100,114,11060623
83200,74,11085514
83300,112,11096599
83400,111,11108985
83500,117,11121196
83600,101,11133153
83700,138,11146249
83800,127,11159074
83900,154,11173008
84000,72,11186078
84100,86,11196624
84200,111,11207843
84300,112,11219197
84400,112,11231396
84500,100,11244071
84600,123,11255760
84700,140,11268228
84800,100,11281067
84900,124,11294261
85000,86,11308422
85100,125,11319723
85200,111,11332152
85300,125,11344980
85400,126,11358214
85500,166,11372657
85600,113,11385198
85700,125,11398812
85800,124,11412943
85900,140,11427493
86000,152,11442935
86100,100,11453702
86200,111,11464630
86300,114,11476231
86400,85,11488179
86500,124,11500609
86600,101,11512351
86700,124,11524425
86800,99,11537437
86900,137,11550311
87000,138,11564074
87100,126,11576608
87200,99,11588569
87300,100,11601667
87400,125,11614189
87500,136,11627880
87600,114,11641388
87700,125,11654604
87800,155,11684415
87900,155,11711370
88000,126,11726398
88100,100,11740336
88200,99,11752261
88300,136,11764920
88400,113,11777557
88500,138,11791107
88600,110,11805042
88700,149,11818141
88800,125,11831920
88900,125,11845964
89000,137,11860599
89100,110,11875963
89200,125,11888766
89300,136,11902402
89400,138,11916554
89500,150,11931120
89600,100,11946989
89700,136,11960702
89800,140,11975703
