N,T,Total_T
55700,102,4693718
55800,177,4702362
55900,71,4710894
56000,111,4722972
56100,81,4733914
56200,75,4741886
56300,146,4751150
56400,77,4760237
56500,76,4768994
56600,53,4778064
56700,84,4790613
56800,108,4798706
56900,59,4808226
57000,56,4818027
57100,75,4827233
57200,103,4835975
57300,173,4845221
57400,95,4854427
57500,88,4863198
57600,123,4872276
57700,55,4880315
57800,63,4888016
57900,86,4897362
58000,71,4906516
58100,479,4918285
58200,89,4930798
58300,72,4938784
58400,87,4947708
58500,128,4955737
58600,67,4963949
58700,58,4972460
58800,98,4980755
58900,66,4989385
59000,131,4997372
59100,67,5005393
59200,101,5013919
59300,62,5022644
59400,77,5032117
59500,98,5043618
59600,81,5053754
59700,67,5063674
59800,142,5072911
59900,102,5082826
60000,90,5090904
60100,52,5098840
60200,55,5109330
60300,59,5117258
60400,95,5126037
60500,50,5134557
60600,56,5143825
60700,68,5152572
60800,93,5160859
60900,71,5168909
61000,68,5178286
61100,54,5187108
61200,80,5196053
61300,128,5204648
61400,82,5214726
61500,205,5226139
61600,91,5235932
61700,153,5246013
61800,78,5257222
61900,417,5269572
62000,83,5278407
62100,76,5287130
62200,84,5295125
62300,71,5303402
62400,101,5312043
62500,139,5320205
62600,83,5328878
62700,56,5337725
62800,81,5346558
62900,67,5355144
63000,62,5365746
63100,75,5375958
63200,98,5383961
63300,70,5392214
63400,152,5401414
63500,84,5410786
63600,78,5419338
63700,62,5429747
63800,85,5438357
63900,81,5448569
64000,133,5457931
64100,78,5467775
64200,54,5476507
64300,61,5487794
64400,81,5497314
64500,86,5506660
64600,84,5515611
64700,60,5523459
64800,77,5532472
64900,77,5541327
65000,80,5549973
65100,56,5558837
65200,114,5567651
65300,112,5576898
65400,91,5585898
65500,88,5596361
65600,86,5605789
65700,50,5614141
65800,57,5622538
65900,104,5630972
66000,83,5638753
66100,54,5647655
66200,67,5654940
66300,197,5662891
66400,90,5671445
66500,252,5681049
66600,66,5690138
66700,105,5697745
66800,79,5705806
66900,45,5716164
67000,86,5724913
67100,44,5734736
67200,84,5742677
67300,56,5750738
67400,66,5759491
67500,71,5768290
67600,174,5777899
67700,55,5786010
67800,90,5794553
67900,60,5802447
68000,88,5810534
68100,79,5818921
68200,57,5826491
68300,57,5833656
68400,70,5842283
68500,76,5850664
68600,87,5859942
68700,75,5869292
68800,96,5876696
68900,141,5883997
69000,54,5892085
69100,69,5900938
69200,78,5908990
69300,115,5918426
69400,66,5926475
69500,88,5935833
69600,110,5946930
69700,125,5957908
69800,73,5966945
69900,114,5978397
70000,86,5985525
70100,114,5993064
70200,59,6002353
70300,119,6010784
70400,102,6019143
70500,49,6027577
70600,60,6036240
70700,150,6045275
70800,74,6053819
70900,50,6061416
71000,125,6068713
71100,86,6076435
71200,132,6086532
71300,66,6094140
71400,122,6102168
71500,62,6110735
71600,74,6119240
71700,43,6128915
71800,85,6136824
71900,71,6145411
72000,85,6154701
72100,118,6165653
72200,63,6173938
72300,116,6181800
72400,70,6189820
72500,62,6198325
72600,63,6206604
72700,111,6215990
72800,97,6225308
72900,61,6234071
73000,67,6242721
73100,58,6250828
73200,141,6259055
73300,57,6267069
73400,115,6274981
73500,52,6282833
73600,112,6290413
73700,65,6298707
73800,81,6308740
73900,55,6316807
74000,83,6324818
74100,114,6333425
74200,100,6341464
74300,78,6350524
74400,163,6358606
74500,59,6367315
74600,66,6374873
74700,73,6384262
74800,63,6392701
74900,144,6400678
75000,128,6408130
75100,113,6415813
75200,83,6424529
75300,55,6433715
75400,74,6441963
75500,77,6450525
75600,70,6458676
75700,161,6468016
75800,81,6477193
75900,68,6485744
76000,96,6494535
76100,62,6502145
76200,58,6511032
76300,82,6520892
76400,70,6528482
76500,120,6536802
76600,87,6545829
76700,62,6554181
76800,132,6562954
76900,49,6572122
77000,49,6580280
77100,85,6588434
77200,63,6596243
77300,63,6604153
77400,111,6612413
77500,64,6620048
77600,78,6628376
77700,66,6636769
77800,65,6645177
77900,63,6655337
78000,95,6663363
78100,66,6671348
78200,104,6679655
78300,68,6687594
78400,87,6696372
78500,104,6704194
78600,72,6712496
78700,53,6720643
78800,97,6729113
78900,68,6739161
79000,73,6747472
79100,90,6755450
79200,74,6763452
79300,60,6770891
79400,70,6779616
79500,64,6787554
79600,95,6796625
79700,105,6805689
79800,78,6813771
79900,112,6823735
80000,110,6832651
80100,52,6842639
80200,69,6850685
80300,70,6858998
80400,86,6867301
80500,63,6875471
80600,75,6883626
80700,206,6894049
80800,96,6902845
80900,75,6912835
81000,155,6921564
81100,53,6931208
81200,76,6939567
81300,58,6948743
81400,93,6958227
81500,132,6967368
81600,135,6975473
81700,64,6984723
81800,98,6994248
81900,68,7003635
82000,72,7013334
82100,90,7021842
82200,86,7031260
82300,76,7041269
82400,107,7049269
82500,118,7057211
82600,166,7065862
82700,53,7074104
82800,90,7081611
82900,61,7089880
83000,83,7098431
83100,155,7106496
83200,116,7114554
83300,142,7123183
83400,75,7130975
83500,75,7140021
83600,62,7148854
83700,85,7157146
83800,84,7166355
83900,66,7175199
84000,80,7184892
84100,55,7193074
84200,60,7200415
84300,50,7208552
84400,74,7216611
84500,45,7224896
84600,113,7233191
84700,123,7242146
84800,94,7250833
84900,49,7259040
85000,79,7268013
85100,56,7276929
85200,77,7285211
85300,75,7293085
85400,70,7301232
85500,118,7309939
85600,94,7318605
85700,50,7326886
85800,62,7335890
85900,70,7344168
86000,100,7353223
86100,46,7362967
86200,106,7373153
86300,169,7381889
86400,103,7390838
86500,64,7398277
86600,85,7407125
86700,489,7417033
86800,76,7424820
86900,64,7434864
87000,87,7445720
87100,72,7454786
87200,85,7462434
87300,78,7470920
87400,60,7479122
87500,189,7488106
87600,85,7497568
87700,59,7506065
87800,144,7513843
87900,66,7522300
88000,117,7530926
88100,53,7541500
88200,137,7549604
88300,52,7557099
88400,84,7564998
88500,61,7572669
88600,92,7581338
88700,57,7589726
88800,97,7598455
88900,50,7606397
89000,71,7614615
89100,93,7624273
89200,86,7632353
89300,61,7640193
89400,70,7649486
89500,74,7657931
89600,127,7667165
89700,60,7675160
89800,82,7684550
89900,56,7694156
90000,128,7703845
90100,157,7715384
90200,91,7724313
90300,67,7732971
90400,90,7745563
90500,53,7755222
90600,73,7764782
90700,57,7773847
90800,120,7782770
90900,83,7790922
91000,95,7799214
91100,79,7807497
91200,117,7818759
91300,81,7829662
91400,64,7838009
91500,53,7845470
91600,66,7853306
91700,58,7862216
91800,60,7870009
91900,136,7878584
92000,93,7887109
92100,151,7895288
92200,96,7904480
92300,79,7912536
92400,95,7920514
92500,51,7929339
92600,82,7937735
92700,67,7946916
92800,103,7955481
92900,53,7964320
93000,53,7972338
93100,57,7980988
93200,86,7990876
93300,60,7999150
93400,77,8006862
93500,227,8015484
93600,90,8024730
93700,64,8034159
93800,146,8042422
